route_id,latitude,longitude,speed,timestamp,id,direction,agency_name,agency_id,route_short_name,tip_id,trip_headsign
99,-34.62915,-58.36496,3.888888,1683659504,8023,0,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,20,152A,10069-1,A - a Olivos
1878,-34.58712,-58.45603,3.888888,1683659504,8035,0,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,3,44A,127815-1,a Bcas. de Belgrano
691,-34.62846,-58.38596,0.555555,1683659506,8041,0,EXPRESO QUILMES S.A.,62,98C,47695-1,5 a Villa España
1879,-34.57276,-58.4610062,3.611111,1683659506,8043,1,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,3,44A,128164-1,a Pompeya
694,-34.7752,-58.23466,0,1683659504,8062,1,EXPRESO QUILMES S.A.,62,98D,47960-1,Rapido x Autop. San Miguel Constitución - VUELTA
1879,-34.59142,-58.46598,10.2777767,1683659506,8068,1,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,3,44A,128160-1,a Pompeya
1878,-34.65248,-58.42201,9.444444,1683659506,8076,0,D.O.T.A. S.A. DE TRANSPORTE AUTOMOTOR,3,44A,127829-1,a Bcas. de Belgrano
547,-34.51996,-58.7367,1.111111,1683659476,8083,1,EXPRESO GENERAL SARMIENTO S.A.,65,176H,36683-1,J - San Martin y Gral. Paz
541,-34.46802,-58.7539139,0,1683659504,8084,1,EXPRESO GENERAL SARMIENTO S.A.,65,176F,36273-1,F - Chacarita x Constitución y Acc. Norte
545,-34.56437,-58.67746,9.722222,1683659502,8085,1,EXPRESO GENERAL SARMIENTO S.A.,65,176G,36601-1,I - Gral. Paz y Constituyentes x Puerta 4
705,-34.59013,-58.46614,5.277777,1683659506,8094,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49553-1,a Villegas x Pergamino
705,-34.60718,-58.5962,0,1683659504,8095,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49545-1,a Villegas x Pergamino
705,-34.5944,-58.5374947,10.2777767,1683659506,8096,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49546-1,a Villegas x Pergamino
706,-34.59176,-58.525135,3.055555,1683659504,8099,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49779-1,a La Boca
706,-34.59159,-58.50562,7.777777,1683659506,8100,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49777-1,a La Boca
705,-34.61216,-58.58975,9.722222,1683659504,8102,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49542-1,a Villegas x Pergamino
706,-34.60039,-58.56,5.277777,1683659502,8104,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49782-1,a La Boca
705,-34.59603,-58.54001,3.055555,1683659504,8105,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49545-1,a Villegas x Pergamino
705,-34.60573,-58.5673943,3.611111,1683659502,8106,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49544-1,a Villegas x Pergamino
706,-34.58623,-58.4714851,0,1683659504,8108,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49774-1,a La Boca
705,-34.5844,-58.47843,7.5,1683659506,8109,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49552-1,a Villegas x Pergamino
705,-34.58804,-58.52308,10.2777767,1683659504,8111,0,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49547-1,a Villegas x Pergamino
706,-34.58822,-58.46398,16.3888874,1683659504,8112,1,TRANSPORTES LINEA 123 S.A.C.I.,92,123A,49768-1,a La Boca
